ID_NECESIDAD,NECESIDAD,FECHA RECEPCION NECESIDAD,MUNICIPIO,SUBREGION,LONGITUD,LATITUD,PDET,ZOMAC,RADICADOS ASOCIADOS,FASE PROYECTO,VALOR NECESIDAD SIF,TIPOLOGIA,ORDEN VIAL,ASOCIACION AL PD,OBSERVACION,PRIORIZADO,POSIBLE FUENTE FINANCIACION,PROGRAMA,CATEGORÍA,INGRESOS EJECUTADOS 2024 PROYECTADOS 2025,GASTOS EJECUTADOS 2024 PROYECTADOS 2025,AHORRO OPERACIONAL,DEUDA IDEA Incluye por desembolsar,DEUDAS CON OTROS BANCOS  Incluye por desembolsar,SALDO TOTAL DEUDA PROYECTADA,INDICADOR DE CAPACIDAD  LEY 358 DE 1997,CAPACIDAD MAXIMA DE ENDEUDAMIENTO AL 100%,CAPACIDAD MAXIMA DE ENDEUDAMIENTO AL 80%,CAPACIDAD MAXIMA DE ENDEUDAMIENTO AL 60%,Deuda del IDEA sobre el total,INDICADOR LEY 617,LÍMITE 617,SEMÁFORO,APORTE GOB,SOBRANTE FALTANTE
1.0,CONSTRUCCIÓN DE PARQUES DEL RIO ETAPA 1 EN EL MUNICIPIO DE VEGACHÍ ANTIOQUIA”,2024-02-05,Vegachí,Nordeste,-74.798714,6.773525,0.0,1.0,2024010048235,1.0,,Parque,,Espacio público adecuado,,,,,6,14438255937.0725,4668200945.84,9770054991.2325,2534414723.0,0.0,2534414723.0,0.17553468604836753,11903841214.0725,9523072971.258001,7142304728.4435,1.0,0.5148707777903756,0.8,Cumple,1428460945.6887,1100754852.1321993
3.0,Intercambio vial sector 3,2024-12-03,Barbosa,Valle de Aburrá,-75.331627,"6,439195",0.0,0.0,2024010111694,3.0,54654511129.0,Intercambio Vial,Urbana,Vía urbana mejorada,,,,,4,56592203197.5365,24375972647.86,32216230549.6765,0.0,15044963334.42,15044963334.42,0.26584869442006315,41547239863.1165,33237791890.493202,24928343917.8699,0.0,0.603852082619701,0.8,Cumple,4985668783.57398,-31357431194.55612
4.0,Construcción del Puente Biblioteca en el municipio de Rionegro - ADICION A PROYECTO EN EJECUCION,2024-07-03,Rionegro,Oriente,-75.377316,"6,147148",0.0,0.0,2024010105045,3.0,8594513471.0,Edificio Institucional,,Equipamientos construidos,Peticion por recursos para obra adicional,,,,1,501236439904.31354,112502020079.39,388734419824.9235,85394840514.0,114109886446.23999,199504726960.24,0.39802518547599136,301731712944.07355,241385370355.25885,181039027766.44412,0.4280341714961904,0.23207277402530038,0.65,Cumple,36207805553.288826,199470854625.73294
5.0,Pavimentación de la vía Santa Bárbara - Fredonia (ruta 25) Fredonia Código 25AN02 en el Plan de Desarrollo Departamental 2024 - 2027,2024-02-16,Santa Bárbara,Suroeste,-75.567351,"5,875527",0.0,0.0,2024010070587,1.0,,Pavimento Flexible,Segundo Orden,Vías secundarias mejoradas,Solicitud para incluir en PD 2024 pavimentacion de via secundaria Santa Barbara - Fredonia,,,,6,12109127304.486,6485076277.83,5624051026.656,3662325591.0,0.0,3662325591.0,0.3024433965314114,8446801713.486,6757441370.7888,5068081028.091599,1.0,0.5525326229358355,0.8,Cumple,1013616205.61832,5281697233.709919
6.0,Placa huella Abejorral - Purima,2024-02-19,Abejorral,Oriente,-75.428739,5.789315,0.0,1.0,2024010071479,1.0,,Placa huella,Tercer Orden,Vías terciarias mejoradas,No tiene E&D. GOB 50% MUNIC 30% COM 20%,1.0,SGR Regionales 60%,Placa huellas 2025-2,6,15030770872.282,4409672661.82,10621098210.462,1969764886.0,0.0,1969764886.0,0.1310488266195589,13061005986.282,10448804789.0256,7836603591.769199,1.0,0.39507659260977307,0.8,Cumple,1567320718.3538399,4201171682.1230392
7.0,Pavimentación de 11km de la vía Riogrande - Bellavista (05237VT073),2024-01-17,Donmatías,Norte,-75.39263,"6,485603",0.0,0.0,2024010019030,1.0,,Pavimento Flexible,Tercer Orden,Vías terciarias mejoradas,,,,,6,24529039369.5395,8973012363.67,15556027005.869501,7973050390.0,1625381984.0,9598432374.0,0.3913089391474281,14930606995.539501,11944485596.431602,8958364197.3237,0.8306617246788345,0.5302434371724646,0.8,Cumple,1791672839.46474,-8164135575.211559
8.0,Solicitud de apoyo y acompañamiento integral a la Gestión territorial - Remitido por el ministerio de ambiente,2024-01-17,Carepa,Urabá,-76.652652,"7,755148",1.0,1.0,2024010020020,,,Otros,,Otros,,,,,6,31551501799.776,12896901947.81,18654599851.966003,4320802475.0,2118562934.45,6439365409.45,0.20409061509381832,25112136390.326,20089709112.2608,15067281834.1956,0.6709981807615806,0.6010329635298705,0.8,Cumple,3013456366.8391204,10290788523.034721
9.0,"Pavimentación de la vía que conduce al corregimiento portachuelo en Amalfí desde el municipio de Vegachí (05858VT61) ""Alejandría - Cascajo""",2024-05-02,Vegachí,Nordeste,-74.798714,6.773525,0.0,1.0,2024010048752,1.0,,Pavimento Flexible,Tercer Orden,Vías terciarias mejoradas,,,,,6,14438255937.0725,4668200945.84,9770054991.2325,2534414723.0,0.0,2534414723.0,0.17553468604836753,11903841214.0725,9523072971.258001,7142304728.4435,1.0,0.5148707777903756,0.8,Cumple,1428460945.6887,1100754852.1321993
10.0,Propuesta proyectos en desarrollo Bajo Cauca Antioqueño. Finca la Mariela - Caucasía Antioquia,2024-01-02,Caucasia,Bajo Cauca,-75.197996,"7,977278",1.0,1.0,2024010043395,2.0,,Parque,,Espacio público adecuado,Son tres proyectos para los cuales CEDRA busca apoyo,,,,5,55415011363.6435,24252117123.4,31162894240.2435,8970758412.0,3572173854.98,12542932266.98,0.22634538834019124,42872079096.6635,34297663277.3308,25723247457.998096,0.7152042457899613,0.6705201082614528,0.8,Cumple,5144649491.59962,3549126953.5977173
11.0,Recuperación pavimentación y mantenimiento a la malla vial que comunica al municipio de Armenia con el municipio de Titiribí,2024-02-16,Armenia,Occidente,-75.786647,"6,155667",0.0,0.0,2024010068835,1.0,,Pavimento Flexible,Tercer Orden,Vías terciarias mejoradas,,,,,6,4667939777.701,2029602941.79,2638336835.9110003,355713183.0,0.0,355713183.0,0.07620346447039891,4312226594.701,3449781275.7608004,2587335956.8206,1.0,0.6563728175736439,0.8,Cumple,517467191.36412,3104803148.18472
13.0,Vía entre corregimiento de San Pablo y vereda Naranjal (Codigo 05856VT104),2024-01-01,Támesis,Suroeste,-75.714429,5.664645,0.0,0.0,,1.0,,Placa huella,Tercer Orden,Vías terciarias mejoradas,Via 2.5km que comunica corregimientos de San Pablo y la vereda el Narajal. FASE 1,,,,6,13939577899.6405,5408645166.360001,8530932733.2804985,2408239973.0,812109375.0,3220349348.0,0.23102201309001277,10719228551.6405,8575382841.3124,6431537130.9843,0.7478194794287268,0.48148969869574604,0.8,Cumple,1286307426.19686,-10772171787.81884
14.0,Solicitud de Pavimentación vía Peñalisa - La Bodega - Tarso La Bodega - Pueblorico con codigo 25BAN03-1,2024-02-26,Tarso,Suroeste,-75.822956,5.864542,0.0,0.0,2024010084216,2.0,,Pavimento Flexible,Segundo Orden,Vías secundarias mejoradas,Peticion se ha hecho en multiples ocasiones. Reclaman un intervencion que nunca se hizo y piden apoyo,,,,6,9297204605.9125,4650900904.13,4646303701.7825,1308996768.0,0.0,1308996768.0,0.14079466070560084,7988207837.9125,6390566270.330001,4792924702.7475,1.0,0.6726767122039181,0.8,Cumple,958584940.5495001,-1217788521.702999
15.0,Mejoramiento de la red vial urbana Municipio de San josé de la Montaña,2024-01-31,San José de la Montaña,Norte,-75.683352,"6,85009",0.0,0.0,2024010041849,1.0,,Pavimento Flexible,Urbana,Vía urbana mejorada,,,,,6,5437802568.3275,2195257843.85,3242544724.4775004,1389038990.0,0.0,1389038990.0,0.25544123247329026,4048763578.3275003,3239010862.6620007,2429258146.9965,1.0,0.7423058033965034,0.8,Cumple,485851629.39930004,-14155936706.6042
16.0,Mejoramiento de vías rurales en los municipios de Belmira y San José de la Montaña Antioquia,2024-07-02,San José de la Montaña,Norte,-75.683352,"6,85009",0.0,0.0,2024010054228,3.0,3142000000.0,Pavimento Flexible,Tercer Orden,Vías terciarias mejoradas,,,,,6,5437802568.3275,2195257843.85,3242544724.4775004,1389038990.0,0.0,1389038990.0,0.25544123247329026,4048763578.3275003,3239010862.6620007,2429258146.9965,1.0,0.7423058033965034,0.8,Cumple,485851629.39930004,-14155936706.6042
